orden,nom_region,cod_region,nom_provincia,cod_provincia,nom_comuna,cod_comuna,viviendas_ocupadas_presente,viviendas_ocupadas_ausente,viviendas_desocupadas_venta,viviendas_desocupadas_temp,viviendas_colec,total_viviendas
178,MAULE,7,CAUQUENES,72,CAUQUENES,7201,14189,1125,1704,860,17,17895
179,MAULE,7,CAUQUENES,72,CHANCO,7202,3015,107,243,332,7,3704
180,MAULE,7,CAUQUENES,72,PELLUHUE,7203,2770,181,402,2405,33,5791
190,MAULE,7,LINARES,74,LINARES,7401,31014,1460,1738,1429,35,35676
191,MAULE,7,LINARES,74,COLBUN,7402,7068,291,609,1027,26,9021
192,MAULE,7,LINARES,74,LONGAVI,7403,10060,229,708,884,7,11888
193,MAULE,7,LINARES,74,PARRAL,7404,14497,605,1238,1087,21,17448
194,MAULE,7,LINARES,74,RETIRO,7405,6910,204,545,592,9,8260
195,MAULE,7,LINARES,74,SAN JAVIER,7406,15173,657,1247,792,26,17895
196,MAULE,7,LINARES,74,VILLA ALEGRE,7407,5670,225,617,314,7,6833
197,MAULE,7,LINARES,74,YERBAS BUENAS,7408,5924,125,429,333,2,6813
